GO_terms	Class	Description
GO:0090179	BP	planar cell polarity pathway involved in neural tube closure
GO:0090183	BP	regulation of kidney development
GO:0090184	BP	positive regulation of kidney development
GO:0090185	BP	negative regulation of kidney development
GO:0090186	BP	regulation of pancreatic juice secretion
GO:0090187	BP	positive regulation of pancreatic juice secretion
GO:0090188	BP	negative regulation of pancreatic juice secretion
GO:0090203	BP	obsolete transcriptional activation by promoter-terminator looping
GO:0090210	BP	regulation of establishment of blood-brain barrier
GO:0090211	BP	positive regulation of establishment of blood-brain barrier
GO:0090212	BP	negative regulation of establishment of blood-brain barrier
GO:0090215	BP	obsolete regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0090216	BP	obsolete positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0090225	BP	obsolete regulation of spindle density
GO:0090236	BP	obsolete regulation of transcription from RNA polymerase II promoter involved in somitogenesis
GO:0090252	BP	epithelium migration involved in imaginal disc-derived wing morphogenesis
GO:0090257	BP	regulation of muscle system process
GO:0090259	BP	regulation of retinal ganglion cell axon guidance
GO:0090260	BP	negative regulation of retinal ganglion cell axon guidance
GO:0090282	BP	obsolete positive regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0090283	BP	obsolete regulation of protein glycosylation in Golgi
GO:0090284	BP	obsolete positive regulation of protein glycosylation in Golgi
GO:0090286	BP	obsolete cytoskeletal anchoring at nuclear membrane
GO:0090289	BP	regulation of osteoclast proliferation
GO:0090290	BP	positive regulation of osteoclast proliferation
GO:0090291	BP	negative regulation of osteoclast proliferation
GO:0090299	BP	regulation of neural crest formation
GO:0090300	BP	positive regulation of neural crest formation
GO:0090301	BP	negative regulation of neural crest formation
GO:0090328	BP	regulation of olfactory learning
GO:0090330	BP	regulation of platelet aggregation
GO:0090331	BP	negative regulation of platelet aggregation
GO:0090342	BP	obsolete regulation of cell aging
GO:0090343	BP	obsolete positive regulation of cell aging
GO:0090360	BP	platelet-derived growth factor production
GO:0090361	BP	regulation of platelet-derived growth factor production
GO:0090362	BP	positive regulation of platelet-derived growth factor production
GO:0090381	BP	regulation of heart induction
GO:0090401	BP	obsolete viral-induced premature senescence
GO:0090412	BP	obsolete positive regulation of transcription from RNA polymerase II promoter involved in fatty acid biosynthetic process
GO:0090413	BP	obsolete negative regulation of transcription from RNA polymerase II promoter involved in fatty acid biosynthetic process
GO:0090418	BP	obsolete positive regulation of transcription involved in S-phase of mitotic cell cycle
GO:0090444	BP	regulation of nematode larval development, heterochronic 
GO:0090445	BP	positive regulation of nematode larval development, heterochronic 
GO:0090446	BP	negative regulation of nematode larval development, heterochronic 
GO:0090485	BP	obsolete chromosome number maintenance
GO:0090507	BP	phenylethylamine metabolic process involved in synaptic transmission
GO:0090508	BP	phenylethylamine biosynthetic process involved in synaptic transmission
GO:0090521	BP	glomerular visceral epithelial cell migration
GO:0090540	BP	bacterial cellulose biosynthetic process
GO:0090557	BP	establishment of endothelial intestinal barrier
GO:0090597	BP	nematode male tail mating organ morphogenesis
GO:0090620	CC	obsolete APC-Cdc20 complex
GO:0090621	CC	obsolete APC-fizzy-related complex
GO:0090667	BP	cell chemotaxis to vascular endothelial growth factor
GO:0090668	BP	endothelial cell chemotaxis to vascular endothelial growth factor
GO:0090673	BP	endothelial cell-matrix adhesion
GO:0090674	BP	endothelial cell-matrix adhesion via fibronectin
GO:0090680	BP	disruption by virus of host outer membrane
GO:0090681	MF	GPCR taste receptor activity
GO:0090682	MF	GPCR bitter taste receptor activity
GO:0090683	MF	GPCR sweet taste receptor activity
GO:0090690	CC	obsolete heteroreceptor complex
GO:0090703	BP	obsolete triplex DNA unwinding
GO:0090723	CC	obsolete growth cone part
GO:0097015	CC	obsolete bacterial-type flagellar cytoplasm
GO:0097017	BP	renal protein absorption
GO:0097018	BP	renal albumin absorption
GO:0097021	BP	lymphocyte migration into lymphoid organs
GO:0097022	BP	lymphocyte migration into lymph node
GO:0097031	BP	obsolete mitochondrial respiratory chain complex I biogenesis
GO:0097032	BP	obsolete mitochondrial respiratory chain complex II biogenesis
GO:0097033	BP	obsolete mitochondrial respiratory chain complex III biogenesis
GO:0097034	BP	obsolete mitochondrial respiratory chain complex IV biogenesis
GO:0097042	CC	extrinsic component of fungal-type vacuolar membrane
GO:0097045	BP	phosphatidylserine exposure on blood platelet
GO:0097049	BP	motor neuron apoptotic process
GO:0097050	BP	type B pancreatic cell apoptotic process
GO:0097056	BP	obsolete selenocysteinyl-tRNA(Sec) biosynthetic process
GO:0097060	CC	synaptic membrane
GO:0097066	BP	response to thyroid hormone
GO:0097067	BP	cellular response to thyroid hormone stimulus
GO:0097081	BP	vascular associated smooth muscle cell fate commitment
GO:0097082	BP	vascular associated smooth muscle cell fate specification
GO:0097083	BP	vascular associated smooth muscle cell fate determination
GO:0097084	BP	vascular associated smooth muscle cell development
GO:0097091	BP	synaptic vesicle clustering
GO:0097101	BP	blood vessel endothelial cell fate specification
GO:0097102	BP	endothelial tip cell fate specification
GO:0097103	BP	endothelial stalk cell fate specification
GO:0097120	BP	receptor localization to synapse
GO:0097154	BP	GABAergic neuron differentiation
GO:0097155	BP	fasciculation of sensory neuron axon
GO:0097156	BP	fasciculation of motor neuron axon
GO:0097166	BP	lens epithelial cell proliferation
GO:0097181	CC	protein C inhibitor-coagulation factor V complex
GO:0097182	CC	protein C inhibitor-coagulation factor Xa complex
GO:0097183	CC	protein C inhibitor-coagulation factor XI complex
GO:0097205	BP	renal filtration
GO:0097208	CC	alveolar lamellar body
GO:0097223	CC	obsolete sperm part
GO:0097224	CC	sperm connecting piece
GO:0097225	CC	sperm midpiece
GO:0097226	CC	sperm mitochondrial sheath
GO:0097227	CC	sperm annulus
GO:0097228	CC	sperm principal piece
GO:0097229	CC	sperm end piece
GO:0097233	CC	alveolar lamellar body membrane
GO:0097235	BP	obsolete positive regulation of fatty acid beta-oxidation by positive regulation of transcription from RNA polymerase II promoter
GO:0097236	BP	obsolete positive regulation of transcription from RNA polymerase II promoter in response to zinc ion starvation
GO:0097239	BP	obsolete positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal
GO:0097241	BP	hematopoietic stem cell migration to bone marrow
GO:0097254	BP	renal tubular secretion
GO:0097271	BP	protein localization to bud neck
GO:0097274	BP	obsolete urea homeostasis
GO:0097278	BP	complement-dependent cytotoxicity
GO:0097279	BP	histamine secretion mediated by IgE immunoglobulin
GO:0097280	BP	histamine secretion mediated by immunoglobulin
GO:0097282	BP	immunoglobulin-mediated neutralization
GO:0097285	BP	obsolete cell-type specific apoptotic process
GO:0097291	BP	renal phosphate ion absorption
GO:0097299	MF	obsolete cysteine-type endopeptidase activity involved in plant-type hypersensitive response
GO:0097301	BP	obsolete regulation of potassium ion concentration by positive regulation of transcription from RNA polymerase II promoter
GO:0097311	CC	bacterial biofilm matrix
GO:0097312	CC	obsolete bacterial biofilm matrix component
GO:0097313	CC	bacterial biofilm matrix surface
GO:0097323	BP	B cell adhesion
GO:0097365	MF	stretch-activated, cation-selective, calcium channel activity involved in regulation of cardiac muscle cell action potential
GO:0097374	BP	sensory neuron axon guidance
GO:0097375	BP	spinal sensory neuron axon guidance
GO:0097376	BP	interneuron axon guidance
GO:0097377	BP	spinal cord interneuron axon guidance
GO:0097378	BP	dorsal spinal cord interneuron axon guidance
GO:0097379	BP	dorsal spinal cord interneuron posterior axon guidance
GO:0097380	BP	dorsal spinal cord interneuron anterior axon guidance
GO:0097394	BP	obsolete telomeric repeat-containing RNA transcription by RNA polymerase II
GO:0097401	BP	synaptic vesicle lumen acidification
GO:0097425	CC	obsolete smooth endoplasmic reticulum part
GO:0097432	BP	hippocampal pyramidal neuron differentiation
GO:0097458	CC	obsolete neuron part
GO:0097469	MF	obsolete cyclin-dependent protein tyrosine kinase activity
GO:0097470	CC	ribbon synapse
GO:0097473	BP	retinal rod cell apoptotic process
GO:0097474	BP	retinal cone cell apoptotic process
GO:0097475	BP	motor neuron migration
GO:0097476	BP	spinal cord motor neuron migration
GO:0097477	BP	lateral motor column neuron migration
GO:0097479	BP	synaptic vesicle localization
GO:0097480	BP	establishment of synaptic vesicle localization
GO:0097482	CC	muscle cell postsynaptic specialization
GO:0097485	BP	neuron projection guidance
GO:0097490	BP	sympathetic neuron projection extension
GO:0097491	BP	sympathetic neuron projection guidance
GO:0097492	BP	sympathetic neuron axon guidance
GO:0097496	BP	blood vessel lumen ensheathment
GO:0097497	BP	blood vessel endothelial cell delamination
GO:0097498	BP	endothelial tube lumen extension
GO:0097512	CC	cardiac myofibril
GO:0097524	CC	sperm plasma membrane
GO:0097529	BP	myeloid leukocyte migration
GO:0097536	BP	thymus epithelium morphogenesis
GO:0097547	CC	synaptic vesicle protein transport vesicle
GO:0097588	BP	archaeal or bacterial-type flagellum-dependent cell motility
GO:0097589	CC	archaeal-type flagellum
GO:0097590	BP	archaeal-type flagellum-dependent cell motility
GO:0097598	CC	sperm cytoplasmic droplet
GO:0097601	BP	retina blood vessel maintenance
GO:0097605	BP	obsolete regulation of nuclear envelope permeability
GO:0097606	BP	obsolete positive regulation of nuclear envelope permeability
GO:0097607	BP	obsolete negative regulation of nuclear envelope permeability
GO:0097654	CC	platelet SNARE complex
GO:0097691	CC	bacterial extracellular vesicle
GO:0097699	BP	vascular endothelial cell response to fluid shear stress
GO:0097700	BP	vascular endothelial cell response to laminar fluid shear stress
GO:0097705	BP	vascular endothelial cell response to pulsatile fluid shear stress
GO:0097706	BP	vascular endothelial cell response to oscillatory fluid shear stress
GO:0097710	CC	viral terminase, small subunit 
GO:0097716	BP	copper ion transport across blood-brain barrier
GO:0097717	BP	copper ion transport across blood-cerebrospinal fluid barrier
GO:0097719	BP	neural tissue regeneration
GO:0097722	BP	sperm motility
GO:0097723	BP	amoeboid sperm motility
GO:0097744	BP	renal urate salt excretion
GO:0097746	BP	blood vessel diameter maintenance
GO:0097755	BP	obsolete positive regulation of blood vessel diameter
GO:0097756	BP	negative regulation of blood vessel diameter
GO:0098003	BP	viral tail assembly
GO:0098004	BP	virus tail fiber assembly
GO:0098005	BP	viral head-tail joining
GO:0098006	BP	viral DNA genome packaging, headful 
GO:0098009	CC	viral terminase, large subunit 
GO:0098015	CC	virus tail
GO:0098017	CC	viral capsid, major subunit 
GO:0098018	CC	viral capsid, minor subunit 
GO:0098019	CC	obsolete virus tail, major subunit 
GO:0098020	CC	obsolete virus tail, minor subunit 
GO:0098021	CC	viral capsid, decoration 
GO:0098022	CC	viral capsid, fiber 
GO:0098023	CC	virus tail, tip 
GO:0098024	CC	virus tail, fiber 
GO:0098025	CC	virus tail, baseplate 
GO:0098026	CC	virus tail, tube 
GO:0098027	CC	virus tail, sheath 
GO:0098028	CC	virus tail, shaft 
GO:0098029	CC	icosahedral viral capsid, spike 
GO:0098030	CC	icosahedral viral capsid, neck 
GO:0098031	CC	icosahedral viral capsid, collar 
GO:0098032	CC	icosahedral viral capsid, collar fiber 
GO:0098033	CC	icosahedral viral capsid, neck fiber 
GO:0098035	BP	viral DNA genome packaging via site-specific sequence recognition
GO:0098036	BP	viral DNA genome packaging, 3' extended cos packaging 
GO:0098037	BP	viral DNA genome packaging, 5' extended cos packaging 
GO:0098045	BP	virus baseplate assembly
GO:0098061	CC	viral capsid, internal space 
GO:0098501	BP	obsolete polynucleotide dephosphorylation
GO:0098503	BP	obsolete DNA 3' dephosphorylation
GO:0098504	BP	obsolete DNA 3' dephosphorylation involved in DNA repair
GO:0098508	BP	endothelial to hematopoietic transition
GO:0098518	MF	obsolete polynucleotide phosphatase activity
GO:0098522	CC	neuromuscular junction of skeletal muscle fiber
GO:0098524	CC	neuromuscular junction of somatic muscle myotube
GO:0098527	CC	neuromuscular junction of somatic muscle
GO:0098528	BP	skeletal muscle fiber differentiation
GO:0098529	BP	neuromuscular junction development, skeletal muscle fiber 
GO:0098535	BP	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation
GO:0098563	CC	intrinsic component of synaptic vesicle membrane
GO:0098584	CC	host cell synaptic vesicle
GO:0098585	CC	host cell synaptic vesicle membrane
GO:0098586	BP	cellular response to virus
GO:0098649	BP	obsolete response to peptidyl-dipeptidase A inhibitor
GO:0098663	MF	obsolete transmembrane transporter activity involved in import into cell
GO:0098670	BP	entry receptor-mediated virion attachment to host cell
GO:0098671	BP	adhesion receptor-mediated virion attachment to host cell
GO:0098672	BP	evasion by virus of CRISPR-cas system
GO:0098673	BP	inhibition of host DNA replication by virus
GO:0098676	BP	modulation of host virulence by virus
GO:0098677	BP	virion maturation
GO:0098678	BP	viral tropism switching
GO:0098679	BP	obsolete regulation of carbohydrate catabolic process by regulation of transcription from RNA polymerase II promoter
GO:0098681	CC	synaptic ribbon
GO:0098683	CC	cochlear hair cell ribbon synapse
GO:0098684	CC	photoreceptor ribbon synapse
GO:0098685	CC	Schaffer collateral - CA1 synapse
GO:0098686	CC	hippocampal mossy fiber to CA3 synapse
GO:0098688	CC	parallel fiber to Purkinje cell synapse
GO:0098690	CC	glycinergic synapse
GO:0098691	CC	dopaminergic synapse
GO:0098692	CC	noradrenergic synapse
GO:0098693	BP	regulation of synaptic vesicle cycle
GO:0098694	BP	regulation of synaptic vesicle budding from presynaptic endocytic zone membrane
GO:0098700	BP	neurotransmitter loading into synaptic vesicle
GO:0098723	CC	skeletal muscle myofibril
GO:0098726	BP	symmetric division of skeletal muscle satellite stem cell
GO:0098731	BP	skeletal muscle satellite stem cell maintenance involved in skeletal muscle regeneration
GO:0098735	BP	positive regulation of the force of heart contraction
GO:0098736	BP	negative regulation of the force of heart contraction
GO:0098738	BP	obsolete RNA polymerase II complex import to nucleus
GO:0098740	BP	obsolete multi organism cell adhesion
GO:0098749	BP	cerebellar neuron development
GO:0098751	BP	bone cell development
GO:0098766	BP	obsolete meiosis I M phase
GO:0098767	BP	obsolete meiosis II M phase
GO:0098789	BP	obsolete pre-mRNA cleavage required for polyadenylation
GO:0098801	BP	regulation of renal system process
GO:0098811	MF	obsolete transcriptional repressor activity, RNA polymerase II activating transcription factor binding 
GO:0098814	BP	spontaneous synaptic transmission
GO:0098820	CC	trans-synaptic protein complex
GO:0098829	BP	intestinal folate absorption
GO:0098832	CC	peri-centrosomal recycling endosome
GO:0098850	CC	extrinsic component of synaptic vesicle membrane
GO:0098856	BP	intestinal lipid absorption
GO:0098867	BP	intramembranous bone growth
GO:0098868	BP	bone growth
GO:0098883	BP	synapse pruning
GO:0098901	BP	regulation of cardiac muscle cell action potential
GO:0098906	BP	regulation of Purkinje myocyte action potential
GO:0098909	BP	regulation of cardiac muscle cell action potential involved in regulation of contraction
GO:0098910	BP	regulation of atrial cardiac muscle cell action potential
GO:0098911	BP	regulation of ventricular cardiac muscle cell action potential
GO:0098912	BP	membrane depolarization during atrial cardiac muscle cell action potential
GO:0098913	BP	membrane depolarization during ventricular cardiac muscle cell action potential
GO:0098914	BP	membrane repolarization during atrial cardiac muscle cell action potential
GO:0098915	BP	membrane repolarization during ventricular cardiac muscle cell action potential
GO:0098916	BP	anterograde trans-synaptic signaling
GO:0098917	BP	retrograde trans-synaptic signaling
GO:0098918	MF	structural constituent of synapse
GO:0098920	BP	retrograde trans-synaptic signaling by lipid
GO:0098921	BP	retrograde trans-synaptic signaling by endocannabinoid
GO:0098923	BP	retrograde trans-synaptic signaling by soluble gas
GO:0098924	BP	retrograde trans-synaptic signaling by nitric oxide
GO:0098925	BP	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission 
GO:0098930	BP	axonal transport
GO:0098931	BP	virion attachment to host cell flagellum
GO:0098932	BP	disruption by virus of host cell wall peptidoglycan during virus entry
GO:0098940	BP	anterograde trans-synaptic signaling by nitric oxide
GO:0098941	BP	anterograde trans-synaptic signaling by trans-synaptic protein complex
GO:0098942	BP	retrograde trans-synaptic signaling by trans-synaptic protein complex
GO:0098957	BP	anterograde axonal transport of mitochondrion
GO:0098958	BP	retrograde axonal transport of mitochondrion
GO:0098965	CC	extracellular matrix of synaptic cleft
GO:0098976	BP	excitatory chemical synaptic transmission
GO:0098977	BP	inhibitory chemical synaptic transmission
GO:0098978	CC	glutamatergic synapse
GO:0098979	CC	polyadic synapse
GO:0098981	CC	cholinergic synapse
GO:0098982	CC	GABA-ergic synapse
GO:0098983	CC	symmetric, GABA-ergic, inhibitory synapse 
GO:0098984	CC	neuron to neuron synapse
GO:0098985	CC	asymmetric, glutamatergic, excitatory synapse 
GO:0098987	BP	regulation of modification of synapse structure, modulating synaptic transmission 
GO:0098993	CC	anchored component of synaptic vesicle membrane
GO:0098994	BP	disruption of host cell envelope during viral entry
GO:0098995	BP	disruption by virus of host envelope lipopolysaccharide during virus entry
GO:0098996	BP	disruption of host cell glycocalyx during viral entry
GO:0098997	BP	fusion of virus membrane with host outer membrane
GO:0099000	BP	viral genome ejection through host cell envelope, contractile tail mechanism 
GO:0099001	BP	viral genome ejection through host cell envelope, long flexible tail mechanism 
GO:0099002	BP	viral genome ejection through host cell envelope, short tail mechanism 
GO:0099003	BP	vesicle-mediated transport in synapse
GO:0099006	BP	viral entry via permeabilization of endosomal membrane
GO:0099008	BP	viral entry via permeabilization of inner membrane
GO:0099009	BP	viral genome circularization
GO:0099015	BP	degradation of host chromosome by virus
GO:0099016	BP	DNA end degradation evasion by virus
GO:0099018	BP	evasion by virus of host restriction-modification system
GO:0099045	BP	viral extrusion
GO:0099069	BP	synaptic vesicle tethering involved in synaptic vesicle exocytosis
GO:0099082	BP	retrograde trans-synaptic signaling by neuropeptide
GO:0099083	BP	retrograde trans-synaptic signaling by neuropeptide, modulating synaptic transmission 
GO:0099087	BP	anterograde axonal transport of messenger ribonucleoprotein complex
GO:0099088	BP	axonal transport of messenger ribonucleoprotein complex
GO:0099090	BP	synaptic vesicle recycling via endosome
GO:0099121	BP	fungal sorus development
GO:0099124	BP	axonal dopamine secretion
GO:0099130	MF	estrogen binding
GO:0099141	BP	cellular response to protozoan
GO:0099144	CC	anchored component of synaptic membrane
GO:0099148	BP	regulation of synaptic vesicle docking
GO:0099153	BP	synaptic transmission, serotonergic 
GO:0099154	CC	serotonergic synapse
GO:0099155	BP	synaptic transmission, noradrenergic 
GO:0099157	BP	trans-synaptic signaling via exosome
GO:0099162	BP	regulation of neurotransmitter loading into synaptic vesicle
GO:0099163	BP	synaptic signaling by nitric oxide
GO:0099164	CC	postsynaptic specialization membrane of symmetric synapse
GO:0099165	CC	postsynaptic specialization of symmetric synapse, intracellular component 
GO:0099166	CC	intrinsic component of postsynaptic specialization membrane of symmetric synapse
GO:0099167	CC	integral component of postsynaptic specialization membrane of symmetric synapse
GO:0099168	CC	extrinsic component of postsynaptic specialization membrane of symmetric synapse
GO:0099169	CC	anchored component of postsynaptic specialization membrane of symmetric synapse
GO:0099170	BP	postsynaptic modulation of chemical synaptic transmission
GO:0099171	BP	presynaptic modulation of chemical synaptic transmission
GO:0099176	BP	regulation of retrograde trans-synaptic signaling by trans-synaptic protein complex
GO:0099177	BP	regulation of trans-synaptic signaling
GO:0099178	BP	regulation of retrograde trans-synaptic signaling by endocanabinoid
GO:0099179	BP	regulation of synaptic membrane adhesion
GO:0099180	BP	zinc ion import into synaptic vesicle
GO:0099183	BP	trans-synaptic signaling by BDNF, modulating synaptic transmission 
GO:0099191	BP	trans-synaptic signaling by BDNF
GO:0099192	CC	cerebellar Golgi cell to granule cell synapse
GO:0099240	CC	intrinsic component of synaptic membrane
GO:0099243	CC	extrinsic component of synaptic membrane
GO:0099502	BP	calcium-dependent activation of synaptic vesicle fusion
GO:0099504	BP	synaptic vesicle cycle
GO:0099506	BP	synaptic vesicle transport along actin filament
GO:0099514	BP	synaptic vesicle cytoskeletal transport
GO:0099517	BP	synaptic vesicle transport along microtubule
GO:0099531	BP	presynaptic process involved in chemical synaptic transmission
GO:0099532	BP	synaptic vesicle endosomal processing
GO:0099535	CC	synapse-associated extracellular matrix
GO:0099536	BP	synaptic signaling
GO:0099537	BP	trans-synaptic signaling
GO:0099538	BP	synaptic signaling via neuropeptide
GO:0099540	BP	trans-synaptic signaling by neuropeptide
GO:0099541	BP	trans-synaptic signaling by lipid
GO:0099542	BP	trans-synaptic signaling by endocannabinoid
GO:0099543	BP	trans-synaptic signaling by soluble gas
GO:0099545	BP	trans-synaptic signaling by trans-synaptic complex
GO:0099546	BP	protein catabolic process, modulating synaptic transmission 
GO:0099547	BP	regulation of translation at synapse, modulating synaptic transmission 
GO:0099548	BP	trans-synaptic signaling by nitric oxide
GO:0099549	BP	trans-synaptic signaling by carbon monoxide
GO:0099550	BP	trans-synaptic signaling, modulating synaptic transmission 
GO:0099551	BP	trans-synaptic signaling by neuropeptide, modulating synaptic transmission 
GO:0099552	BP	trans-synaptic signaling by lipid, modulating synaptic transmission 
GO:0099553	BP	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission 
GO:0099554	BP	trans-synaptic signaling by soluble gas, modulating synaptic transmission 
GO:0099555	BP	trans-synaptic signaling by nitric oxide, modulating synaptic transmission 
GO:0099556	BP	trans-synaptic signaling by carbon monoxide, modulating synaptic transmission 
GO:0099557	BP	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission 
GO:0099558	BP	maintenance of synapse structure
GO:0099560	BP	synaptic membrane adhesion
GO:0099561	BP	synaptic membrane adhesion to extracellular matrix
GO:0099563	BP	modification of synaptic structure
GO:0099564	BP	modification of synaptic structure, modulating synaptic transmission 
GO:0099565	BP	chemical synaptic transmission, postsynaptic 
GO:0099573	CC	glutamatergic postsynaptic density
GO:0099574	BP	regulation of protein catabolic process at synapse, modulating synaptic transmission 
GO:0099575	BP	regulation of protein catabolic process at presynapse, modulating synaptic transmission 
GO:0099576	BP	regulation of protein catabolic process at postsynapse, modulating synaptic transmission 
GO:0099577	BP	regulation of translation at presynapse, modulating synaptic transmission 
GO:0099578	BP	regulation of translation at postsynapse, modulating synaptic transmission 
GO:0099592	BP	endocytosed synaptic vesicle processing via endosome
GO:0099593	BP	endocytosed synaptic vesicle to endosome fusion
GO:0099612	BP	protein localization to axon
GO:0099622	BP	cardiac muscle cell membrane repolarization
GO:0099623	BP	regulation of cardiac muscle cell membrane repolarization
GO:0099624	BP	atrial cardiac muscle cell membrane repolarization
GO:0099625	BP	ventricular cardiac muscle cell membrane repolarization
GO:0099629	CC	postsynaptic specialization of symmetric synapse
GO:0099641	BP	anterograde axonal protein transport
GO:0099642	BP	retrograde axonal protein transport
GO:0099643	BP	signal release from synapse
GO:0099699	CC	integral component of synaptic membrane
GO:0099703	BP	induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration
GO:0100001	BP	regulation of skeletal muscle contraction by action potential
GO:0100003	BP	obsolete positive regulation of sodium ion transport by transcription from RNA polymerase II promoter
GO:0100004	BP	obsolete positive regulation of peroxisome organization by transcription from RNA polymerase II promoter
GO:0100005	BP	obsolete positive regulation of ethanol catabolic process by transcription from RNA polymerase II promoter
GO:0100006	BP	obsolete positive regulation of sulfite transport by transcription from RNA polymerase II promoter
GO:0100007	BP	obsolete negative regulation of ceramide biosynthetic process by transcription from RNA polymerase II promoter
GO:0100012	BP	obsolete regulation of heart induction by canonical Wnt signaling pathway
GO:0100013	BP	obsolete positive regulation of fatty acid beta-oxidation by transcription from RNA polymerase II promoter
GO:0100014	BP	obsolete positive regulation of mating type switching by transcription from RNA polymerase II promoter
GO:0100015	BP	obsolete positive regulation of inositol biosynthetic process by transcription from RNA polymerase II promoter
GO:0100016	BP	obsolete regulation of thiamine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100017	BP	obsolete negative regulation of cell-cell adhesion by transcription from RNA polymerase II promoter
GO:0100018	BP	obsolete regulation of glucose import by transcription from RNA polymerase II promoter
GO:0100019	BP	obsolete regulation of cAMP-mediated signaling by transcription from RNA polymerase II promoter
GO:0100020	BP	obsolete regulation of transport by transcription from RNA polymerase II promoter
GO:0100021	BP	obsolete regulation of iron ion transport by transcription from RNA polymerase II promoter
GO:0100022	BP	obsolete regulation of iron ion transport by transcription from RNA polymerase II promoter
GO:0100023	BP	obsolete regulation of meiotic nuclear division by transcription from RNA polymerase II promoter
GO:0100024	BP	obsolete regulation of carbohydrate metabolic process by transcription from RNA polymerase II promoter
GO:0100025	BP	obsolete negative regulation of cellular amino acid biosynthetic process by transcription from RNA polymerase II promoter
GO:0100026	BP	obsolete positive regulation of DNA repair by transcription from RNA polymerase II promoter
GO:0100027	BP	obsolete regulation of cell separation after cytokinesis by transcription from RNA polymerase II promoter
GO:0100028	BP	obsolete regulation of conjugation with cellular fusion by transcription from RNA polymerase II promoter
GO:0100029	BP	obsolete regulation of histone modification by transcription from RNA polymerase II promoter
GO:0100030	BP	obsolete regulation of histone acetylation by transcription from RNA polymerase II promoter
GO:0100031	BP	obsolete regulation of histone methylation by transcription from RNA polymerase II promoter
GO:0100032	BP	obsolete positive regulation of phospholipid biosynthetic process by transcription from RNA polymerase II promoter
GO:0100033	BP	obsolete regulation of fungal-type cell wall biogenesis by transcription from RNA polymerase II promoter
GO:0100034	BP	obsolete regulation of 4,6-pyruvylated galactose residue biosynthetic process by transcription from RNA polymerase II promoter 
GO:0100035	BP	obsolete negative regulation of transmembrane transport by transcription from RNA polymerase II promoter
GO:0100036	BP	obsolete positive regulation of purine nucleotide biosynthetic process by transcription from RNA polymerase II promoter
GO:0100037	BP	obsolete positive regulation of cellular alcohol catabolic process by transcription from RNA polymerase II promoter
GO:0100038	BP	obsolete regulation of cellular response to oxidative stress by transcription from RNA polymerase II promoter
GO:0100039	BP	obsolete regulation of pyrimidine nucleotide biosynthetic process by transcription from RNA polymerase II promoter
GO:0100040	BP	obsolete negative regulation of invasive growth in response to glucose limitation by transcription from RNA polymerase II promoter
GO:0100041	BP	obsolete positive regulation of pseudohyphal growth by transcription from RNA polymerase II promoter
GO:0100042	BP	obsolete negative regulation of pseudohyphal growth by transcription from RNA polymerase II promoter
GO:0100043	BP	obsolete negative regulation of cellular response to alkaline pH by transcription from RNA polymerase II promoter
GO:0100044	BP	obsolete negative regulation of cellular hyperosmotic salinity response by transcription from RNA polymerase II promoter
GO:0100046	BP	obsolete positive regulation of arginine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100047	BP	obsolete negative regulation of inositol biosynthetic process by transcription from RNA polymerase II promoter
GO:0100048	BP	obsolete positive regulation of phosphatidylcholine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100049	BP	obsolete negative regulation of phosphatidylcholine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100050	BP	obsolete negative regulation of mating type switching by transcription from RNA polymerase II promoter
GO:0100051	BP	obsolete positive regulation of meiotic nuclear division by transcription from RNA polymerase II promoter
GO:0100052	BP	obsolete negative regulation of G1/S transition of mitotic cell cycle by transcription from RNA polymerase II promoter
GO:0100053	BP	obsolete positive regulation of sulfate assimilation by transcription from RNA polymerase II promoter
GO:0100054	BP	obsolete positive regulation of flocculation via cell wall protein-carbohydrate interaction by transcription from RNA polymerase II promoter
GO:0100055	BP	obsolete positive regulation of phosphatidylserine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100056	BP	obsolete negative regulation of phosphatidylserine biosynthetic process by transcription from RNA polymerase II promoter
GO:0100057	BP	obsolete regulation of phenotypic switching by transcription from RNA polymerase II promoter
GO:0100058	BP	obsolete positive regulation of phenotypic switching by transcription from RNA polymerase II promoter
GO:0100059	BP	obsolete negative regulation of phenotypic switching by transcription from RNA polymerase II promoter
GO:0100060	MF	obsolete negative regulation of SREBP signaling pathway by DNA binding
GO:0100061	BP	obsolete negative regulation of SREBP signaling pathway by transcription factor catabolic process
GO:0100062	BP	obsolete positive regulation of SREBP signaling pathway by transcription factor catabolic process
GO:0100063	BP	obsolete regulation of dipeptide transmembrane transport by transcription from RNA polymerase II promoter
