GO_terms	Class	Description
GO:0001859	MF	complement component C3dg receptor activity
GO:0001860	MF	complement component C3d receptor activity
GO:0001861	MF	complement component C4b receptor activity
GO:0001865	BP	NK T cell differentiation
GO:0001866	BP	NK T cell proliferation
GO:0001867	BP	complement activation, lectin pathway 
GO:0001868	BP	regulation of complement activation, lectin pathway 
GO:0001869	BP	negative regulation of complement activation, lectin pathway 
GO:0001870	BP	positive regulation of complement activation, lectin pathway 
GO:0001871	MF	obsolete pattern binding
GO:0001878	BP	response to yeast
GO:0001879	BP	detection of yeast
GO:0001885	BP	endothelial cell development
GO:0001886	BP	endothelial cell morphogenesis
GO:0001890	BP	placenta development
GO:0001892	BP	embryonic placenta development
GO:0001893	BP	maternal placenta development
GO:0001895	BP	retina homeostasis
GO:0001898	BP	obsolete regulation of cytolysis by symbiont of host cells
GO:0001900	BP	obsolete positive regulation of cytolysis by symbiont of host cells
GO:0001902	BP	obsolete regulation of cytolysis in another organism
GO:0001903	BP	obsolete negative regulation of cytolysis in another organism
GO:0001904	BP	obsolete positive regulation of cytolysis in another organism
GO:0001909	BP	leukocyte mediated cytotoxicity
GO:0001910	BP	regulation of leukocyte mediated cytotoxicity
GO:0001911	BP	negative regulation of leukocyte mediated cytotoxicity
GO:0001912	BP	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	BP	T cell mediated cytotoxicity
GO:0001914	BP	regulation of T cell mediated cytotoxicity
GO:0001915	BP	negative regulation of T cell mediated cytotoxicity
GO:0001916	BP	positive regulation of T cell mediated cytotoxicity
GO:0001922	BP	B-1 B cell homeostasis
GO:0001923	BP	B-1 B cell differentiation
GO:0001924	BP	regulation of B-1 B cell differentiation
GO:0001925	BP	negative regulation of B-1 B cell differentiation
GO:0001926	BP	positive regulation of B-1 B cell differentiation
GO:0001935	BP	endothelial cell proliferation
GO:0001936	BP	regulation of endothelial cell proliferation
GO:0001937	BP	negative regulation of endothelial cell proliferation
GO:0001938	BP	positive regulation of endothelial cell proliferation
GO:0001947	BP	heart looping
GO:0001950	CC	obsolete plasma membrane enriched fraction
GO:0001951	BP	intestinal D-glucose absorption
GO:0001955	BP	blood vessel maturation
GO:0001963	BP	synaptic transmission, dopaminergic 
GO:0001974	BP	blood vessel remodeling
GO:0001976	BP	nervous system process involved in regulation of systemic arterial blood pressure
GO:0001977	BP	renal system process involved in regulation of blood volume
GO:0001978	BP	regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback
GO:0001979	BP	regulation of systemic arterial blood pressure by chemoreceptor signaling
GO:0001980	BP	regulation of systemic arterial blood pressure by ischemic conditions
GO:0001982	BP	baroreceptor response to decreased systemic arterial blood pressure
GO:0001983	BP	baroreceptor response to increased systemic arterial blood pressure
GO:0001984	BP	artery vasodilation involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001985	BP	negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001986	BP	negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001987	BP	vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure
GO:0001988	BP	positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure
GO:0001989	BP	positive regulation of the force of heart contraction involved in baroreceptor response to decreased systemic arterial blood pressure
GO:0001990	BP	regulation of systemic arterial blood pressure by hormone
GO:0001991	BP	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001992	BP	regulation of systemic arterial blood pressure by vasopressin
GO:0001993	BP	regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0001994	BP	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001995	BP	norepinephrine-epinephrine catabolic process in blood stream
GO:0001996	BP	positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997	BP	positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0001998	BP	angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001999	BP	renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure
GO:0002000	BP	detection of renal blood flow
GO:0002001	BP	renin secretion into blood stream
GO:0002002	BP	regulation of angiotensin levels in blood
GO:0002004	BP	secretion of vasopressin involved in fast regulation of systemic arterial blood pressure
GO:0002006	BP	vasoconstriction by vasopressin involved in systemic arterial blood pressure control
GO:0002007	BP	detection of hypoxic conditions in blood by chemoreceptor signaling
GO:0002009	BP	morphogenesis of an epithelium
GO:0002011	BP	morphogenesis of an epithelial sheet
GO:0002012	BP	vasoconstriction of artery involved in chemoreceptor response to lowering of systemic arterial blood pressure
GO:0002014	BP	vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure
GO:0002015	BP	regulation of systemic arterial blood pressure by atrial baroreceptor feedback
GO:0002016	BP	regulation of blood volume by renin-angiotensin
GO:0002017	BP	regulation of blood volume by renal aldosterone
GO:0002018	BP	renin-angiotensin regulation of aldosterone production
GO:0002019	BP	regulation of renal output by angiotensin
GO:0002025	BP	norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure
GO:0002026	BP	regulation of the force of heart contraction
GO:0002027	BP	regulation of heart rate
GO:0002033	BP	angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure
GO:0002034	BP	maintenance of blood vessel diameter homeostasis by renin-angiotensin
GO:0002035	BP	brain renin-angiotensin system
GO:0002043	BP	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002044	BP	blood vessel endothelial cell migration involved in intussusceptive angiogenesis
GO:0002051	BP	osteoblast fate commitment
GO:0002064	BP	epithelial cell development
GO:0002065	BP	columnar/cuboidal epithelial cell differentiation
GO:0002066	BP	columnar/cuboidal epithelial cell development
GO:0002067	BP	glandular epithelial cell differentiation
GO:0002068	BP	glandular epithelial cell development
GO:0002069	BP	columnar/cuboidal epithelial cell maturation
GO:0002070	BP	epithelial cell maturation
GO:0002071	BP	glandular epithelial cell maturation
GO:0002073	BP	retina development in camera-type eye
GO:0002074	BP	extraocular skeletal muscle development
GO:0002075	BP	somitomeric trunk muscle development
GO:0002076	BP	osteoblast development
GO:0002117	BP	amphibian larval development
GO:0002119	BP	nematode larval development
GO:0002120	BP	obsolete predatory behavior
GO:0002146	BP	obsolete steroid hormone receptor import into nucleus
GO:0002147	BP	obsolete glucocorticoid receptor import into nucleus
GO:0002152	BP	bile acid conjugation
GO:0002154	BP	thyroid hormone mediated signaling pathway
GO:0002155	BP	regulation of thyroid hormone mediated signaling pathway
GO:0002156	BP	negative regulation of thyroid hormone mediated signaling pathway
GO:0002157	BP	positive regulation of thyroid hormone mediated signaling pathway
GO:0002158	BP	osteoclast proliferation
GO:0002164	BP	larval development
GO:0002165	BP	instar larval or pupal development
GO:0002168	BP	instar larval development
GO:0002174	BP	mammary stem cell proliferation
GO:0002175	BP	protein localization to paranode region of axon
GO:0002198	BP	obsolete S/G2 transition of mitotic cell cycle
GO:0002202	BP	somatic diversification of variable lymphocyte receptors of jawless fish
